<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RGBITR [RTSIDX],240,20210218,040000,607.340000,607.340000,607.340000,607.340000,1.000000
RGBITR [RTSIDX],240,20210218,080000,607.450000,608.870000,607.450000,608.800000,170.000000
RGBITR [RTSIDX],240,20210218,120000,608.790000,608.860000,608.690000,608.690000,40.000000
RGBITR [RTSIDX],240,20210218,160000,608.680000,608.680000,608.560000,608.570000,14.000000
RGBITR [RTSIDX],240,20210219,040000,608.570000,608.570000,608.570000,608.570000,1.000000
RGBITR [RTSIDX],240,20210219,080000,608.720000,609.080000,607.610000,607.610000,141.000000
RGBITR [RTSIDX],240,20210219,120000,607.660000,607.660000,607.020000,607.020000,63.000000
RGBITR [RTSIDX],240,20210219,160000,607.030000,607.030000,606.890000,606.910000,15.000000
RGBITR [RTSIDX],240,20210220,040000,606.910000,606.910000,606.910000,606.910000,1.000000
RGBITR [RTSIDX],240,20210220,080000,607.860000,608.000000,606.710000,606.820000,107.000000
RGBITR [RTSIDX],240,20210220,120000,606.860000,606.930000,606.790000,606.930000,28.000000
RGBITR [RTSIDX],240,20210220,160000,606.950000,607.010000,606.950000,607.010000,13.000000
RGBITR [RTSIDX],240,20210222,040000,607.010000,607.010000,607.010000,607.010000,1.000000
RGBITR [RTSIDX],240,20210222,080000,607.270000,607.460000,607.130000,607.130000,130.000000
RGBITR [RTSIDX],240,20210222,120000,607.140000,607.140000,607.000000,607.000000,27.000000
RGBITR [RTSIDX],240,20210222,160000,606.990000,607.000000,606.930000,606.930000,15.000000
RGBITR [RTSIDX],240,20210224,040000,606.930000,606.930000,606.930000,606.930000,1.000000
RGBITR [RTSIDX],240,20210224,120000,607.860000,607.860000,607.680000,607.680000,5.000000
RGBITR [RTSIDX],240,20210224,160000,607.670000,607.710000,607.650000,607.670000,10.000000
RGBITR [RTSIDX],240,20210225,040000,607.670000,607.670000,607.670000,607.670000,1.000000
RGBITR [RTSIDX],240,20210225,080000,607.890000,607.890000,607.430000,607.520000,102.000000
RGBITR [RTSIDX],240,20210225,120000,607.530000,607.540000,606.570000,606.570000,73.000000
RGBITR [RTSIDX],240,20210225,160000,606.560000,606.560000,606.120000,606.140000,47.000000
RGBITR [RTSIDX],240,20210226,040000,606.140000,606.140000,606.140000,606.140000,1.000000
RGBITR [RTSIDX],240,20210226,080000,606.190000,606.430000,604.400000,604.420000,124.000000
RGBITR [RTSIDX],240,20210226,120000,604.430000,604.530000,604.020000,604.020000,55.000000
RGBITR [RTSIDX],240,20210226,160000,604.010000,604.010000,603.730000,603.730000,16.000000
RGBITR [RTSIDX],240,20210301,040000,603.730000,603.730000,603.730000,603.730000,1.000000
RGBITR [RTSIDX],240,20210301,080000,604.300000,605.130000,604.300000,604.820000,150.000000
RGBITR [RTSIDX],240,20210301,120000,604.810000,604.940000,604.800000,604.940000,35.000000
RGBITR [RTSIDX],240,20210301,160000,604.960000,605.120000,604.920000,605.100000,35.000000
RGBITR [RTSIDX],240,20210302,040000,605.100000,605.100000,605.100000,605.100000,1.000000
RGBITR [RTSIDX],240,20210302,080000,605.310000,605.490000,604.530000,604.530000,157.000000
RGBITR [RTSIDX],240,20210302,120000,604.520000,604.550000,604.220000,604.510000,46.000000
RGBITR [RTSIDX],240,20210302,160000,604.520000,605.770000,604.520000,605.770000,66.000000
RGBITR [RTSIDX],240,20210303,040000,605.770000,605.770000,605.770000,605.770000,1.000000
RGBITR [RTSIDX],240,20210303,080000,606.060000,607.240000,606.060000,607.150000,137.000000
RGBITR [RTSIDX],240,20210303,120000,607.160000,607.690000,607.150000,607.690000,51.000000
RGBITR [RTSIDX],240,20210303,160000,607.680000,607.690000,607.500000,607.630000,33.000000
RGBITR [RTSIDX],240,20210304,040000,607.630000,607.630000,607.630000,607.630000,1.000000
RGBITR [RTSIDX],240,20210304,080000,608.460000,610.720000,608.460000,610.710000,169.000000
RGBITR [RTSIDX],240,20210304,120000,610.720000,610.800000,610.680000,610.800000,43.000000
RGBITR [RTSIDX],240,20210304,160000,610.820000,610.860000,610.770000,610.770000,21.000000
RGBITR [RTSIDX],240,20210305,040000,610.770000,610.770000,610.770000,610.770000,1.000000
RGBITR [RTSIDX],240,20210305,080000,610.860000,610.860000,607.380000,607.490000,169.000000
RGBITR [RTSIDX],240,20210305,120000,607.520000,607.770000,607.520000,607.700000,33.000000
RGBITR [RTSIDX],240,20210305,160000,607.690000,607.690000,607.600000,607.620000,22.000000
RGBITR [RTSIDX],240,20210309,040000,607.620000,607.620000,607.620000,607.620000,1.000000
RGBITR [RTSIDX],240,20210309,080000,608.130000,609.250000,607.940000,608.280000,174.000000
RGBITR [RTSIDX],240,20210309,120000,608.300000,608.590000,608.300000,608.480000,34.000000
RGBITR [RTSIDX],240,20210309,160000,608.470000,608.470000,608.200000,608.200000,20.000000
RGBITR [RTSIDX],240,20210310,040000,608.200000,608.200000,608.200000,608.200000,1.000000
RGBITR [RTSIDX],240,20210310,080000,608.640000,609.250000,607.620000,607.640000,185.000000
RGBITR [RTSIDX],240,20210310,120000,607.630000,607.660000,607.180000,607.180000,55.000000
RGBITR [RTSIDX],240,20210310,160000,607.170000,607.170000,606.800000,606.800000,38.000000
RGBITR [RTSIDX],240,20210311,040000,606.800000,606.800000,606.800000,606.800000,1.000000
RGBITR [RTSIDX],240,20210311,080000,606.790000,607.850000,606.440000,606.440000,135.000000
RGBITR [RTSIDX],240,20210311,120000,606.430000,606.430000,605.030000,605.060000,85.000000
RGBITR [RTSIDX],240,20210311,160000,605.070000,605.070000,605.030000,605.030000,9.000000
RGBITR [RTSIDX],240,20210312,040000,605.030000,605.030000,605.030000,605.030000,1.000000
RGBITR [RTSIDX],240,20210312,080000,605.170000,606.100000,605.170000,605.440000,137.000000
RGBITR [RTSIDX],240,20210312,120000,605.410000,605.410000,604.430000,604.440000,50.000000
RGBITR [RTSIDX],240,20210312,160000,604.450000,604.470000,604.340000,604.340000,15.000000
RGBITR [RTSIDX],240,20210315,040000,604.340000,604.340000,604.340000,604.340000,1.000000
RGBITR [RTSIDX],240,20210315,080000,604.740000,605.710000,604.740000,604.990000,194.000000
RGBITR [RTSIDX],240,20210315,120000,604.980000,605.380000,604.840000,604.950000,42.000000
RGBITR [RTSIDX],240,20210315,160000,604.920000,604.920000,604.650000,604.650000,32.000000
RGBITR [RTSIDX],240,20210316,040000,604.650000,604.650000,604.650000,604.650000,1.000000
RGBITR [RTSIDX],240,20210316,080000,604.770000,604.900000,603.900000,603.930000,113.000000
RGBITR [RTSIDX],240,20210316,120000,603.920000,603.950000,603.760000,603.830000,47.000000
RGBITR [RTSIDX],240,20210316,160000,603.810000,603.850000,603.790000,603.850000,24.000000
RGBITR [RTSIDX],240,20210317,040000,603.850000,603.850000,603.850000,603.850000,1.000000
RGBITR [RTSIDX],240,20210317,080000,604.270000,604.290000,603.570000,603.570000,135.000000
RGBITR [RTSIDX],240,20210317,120000,603.560000,603.560000,603.140000,603.140000,49.000000
RGBITR [RTSIDX],240,20210317,160000,603.130000,603.140000,602.940000,602.940000,27.000000
RGBITR [RTSIDX],240,20210318,040000,602.940000,602.940000,602.940000,602.940000,1.000000
RGBITR [RTSIDX],240,20210318,080000,603.020000,603.490000,602.700000,602.740000,176.000000
RGBITR [RTSIDX],240,20210318,120000,602.750000,602.750000,601.940000,601.950000,87.000000
RGBITR [RTSIDX],240,20210318,160000,601.940000,601.940000,601.420000,601.520000,38.000000
RGBITR [RTSIDX],240,20210319,040000,601.520000,601.520000,601.520000,601.520000,1.000000
RGBITR [RTSIDX],240,20210319,080000,601.510000,601.510000,600.070000,600.190000,141.000000
RGBITR [RTSIDX],240,20210319,120000,600.200000,600.480000,600.130000,600.130000,44.000000
RGBITR [RTSIDX],240,20210319,160000,600.100000,600.100000,599.580000,599.580000,33.000000
